communal          ['kɔmjunl]            a. 公共的; 社区的
composed          [kəm'pəuzd]           a. 镇静的,沉着的
composure         [kəm'pəuʒə]           n. 镇静,沉着
compulsive        [kəm'pʌlsiv]          a. 强制的,强迫的
conciliatory      [kən'siliətəri]       a. 安抚的,怀柔的,融和的
concoct           [kən'kɔkt]            vt. 混合而制,调合,捏造,编造
concur            [kən'kə:]             vi. 意见相同,一致,互助
concurrence       [kən'kʌrəns]          n. 赞同,意见一致,协力
condiment         ['kɔndimənt]          n. 调味品
condone           [kən'dəun]            vt. 赦,宽恕
cone              [kəun]                n. 圆锥体,球果 vt. 使成锥形
confederacy       [kən'fedərəsi]        n. 联盟
confiscate        ['kɔnfiskeit]         vt. 没收,充公,查抄 a. 被没收的
confound          [kən'faund]           vt. 使混淆,使狼狈,挫败
congenial         [kən'dʒi:njəl]        a. 同性质的,适意的,趣味相同的
congested         [kən'dʒestid]         a. 拥挤的
congestion        [kən'dʒestʃn]         n. 拥塞
congruity         [kən'gruəti]          n. 适合,一致,调和
conjure           ['kʌndʒə]             vt. 以咒文召唤,变戏法,想象 vi. 变戏法,施魔法 vt. 祈求,恳求
connivance        [kə'naivəns]          n. 默许,纵容,假装不见
connive           [kə'naiv]             vi. 假装不见,默许,共谋,纵容
connoisseur       [ˌkɔnə'sə:]           n. 鉴识家,鉴定家,内行
consecrate        ['kɔnsikreit]         vt. 供神用,奉献,使神圣 a. 被献给神的,神圣的
conservatory      [kən'sə:vətɔ:ri]      a. 保存性的,有保存力的 n. 温室,音乐学校
consonant         ['kɔnsənənt]          a. 协调的
consort           [kən'sɔ:t]            n. 配偶,夫妻 vi. 陪伴,结交,符合 vt. 使配对
constellation     ['kɔnstə'leiʃən]      n. 星座,灿烂的一群
constrict         [kən'strikt]          vt. 压缩,束紧,使收缩 vi. 压缩
construe          [kən'stru:]           vt. 解释,分析,逐字翻译 vi. 作句法分析 n. 逐字翻译
contemn           [kən'tem]             vt. 侮辱,蔑视
contemptuous      [kən'temptjuəs]       a. 轻蔑的,侮辱的,瞧不起人的
continually       [kən'tinjuəli]        ad. 不断地,频繁地
continuum         [kən'tinjuəm]         n. 连续统一体
contour           ['kɔntuə]             n. 轮廓 vt. 画轮廓 a. 与轮廓相符的
contravene        ['kɔntrə'vi:n]        vt. 抵触；违反；反驳；否认
contrite          ['kɔntrait]           a. 悔悟了的,后悔的,痛悔的
controvert        ['kɔntrə'və:t]        vt. 议论,辩驳,驳击 vi. 参加辩论
convection        [kən'vekʃn]           n. 对流; 传送
corona            [kə'rəunə]            n. 日冕，光环
corpulent         ['kə:pjulənt]         a. 肥大的,肥胖的
corroborate       [kə'rɔbəreit]         vt. 使坚固,确证
courteous         ['kə:tjəs]            a. 彬彬有礼,谦恭的
covetous          ['kʌvətəs]            a. 妄羡的,乱要的,贪婪的
cower             ['kauə]               vi. 畏缩,退缩,抖缩
crafty            ['kra:fti]            a. 狡诈的,诡计多端的,巧妙的
cramped           ['kræmpt]             a. (指空间)狭小的，狭窄的
crater            ['kreitə]             n. 火山口; (弹)坑
credulous         ['kredjuləs]          a. 轻信的,易受骗的
creed             [kri:d]               n. 教条,主义,纲领
crest             [krest]               n. 顶部
crevice           ['krevis]             n. 裂缝
crippling         ['kripliŋ]            a. 严重损害健康的, 致残的; 极有害的
crisscross        ['kriskrɔs]           vt. 来回穿梭
crooked           ['krukid]             a. 弯曲的,歪的,邪恶的
crumple           ['krʌmpl]             vt. 弄皱,压皱 vi. 崩溃,变皱
crusade           [kru:'seid]           n. 十字军(远征); 运动 v. 加入十字军，投身正义运动
crustacean        [krə'steiʃn]          n. 甲壳类动物
cryptic           ['kriptik]            a. 秘密的,神秘的,含义模糊的,隐藏的
culpable          ['kʌlpəbl]            a. 该责备的,有罪的,不周到的
cultivated        ['kʌltiveitid]        a. 栽植的; 有修养的
cumbersome        ['kʌmbəsəm]           a. 笨重的; 麻烦的
cuneiform         ['kju:nifɔ:m]         a. 楔形的 n. 楔形文字
cursory           ['kə:səri]            a. 匆匆忙忙的,草率的,粗略的
curt              [kə:t]                a. 简略的,简短的,生硬的
dab               [dæb]                 n. 少量,轻拍,比目鱼,熟手 vt. vi. 轻拍,轻擦
dagger            ['dægə]               n. 匕首 vt. 用剑刺
dangle            ['dæŋgl]              vi. 摇晃地悬挂着, 追求 vt. 使摇晃地悬挂 n. 悬垂
dank              [dæŋk]                a. 透水的,潮湿的
daze              [deiz]                vt. 使茫然,发昏,使眼花缭乱 n. 迷乱,眼花缭乱
dazzling          ['dæzliŋ]             a. 眼花缭乱的,耀眼的
debatable         [di'beitəbl]          a. 可争论的,成问题的,未决定的
decadence         ['dekədəns]           n. 颓废
deceitful         [di'si:tful]          a. 欺诈的
deciduous         [di'sidjuəs]          a. 每年落叶的
decipher          [di'saifə(r)]         v. 破译，解释
declaim           [di'kleim]            vi. vt. 慷慨陈词,演讲,朗读
declivity         [di'klivəti]          n. 倾斜,下坡
decompose         [`di:kəm'pəuz]        v. 分解; (使)腐烂
decorum           [di'kɔ:rəm]           n. 端正,礼貌合宜,礼仪
decry             [di'krai]             vt. 责难,诽谤,诋毁
defame            [di'fem]              vt. 诽谤,中伤,破坏名誉
deference         ['defərəs]            n. 顺从,尊重
deferential       [defə'renʃəl]         a. 恭敬的
defile            [di'fail]             vt. 弄脏,污损,败坏 vi. 以纵队前进 n. 隘路,狭谷
deflect           [di'flekt]            vt. 打歪,使偏斜 vi. 偏斜
deform            [di'fɔ:m]             v. (使)变形
defraud           [di'frɔ:d]            vt. 欺骗
deft              [deft]                a. 敏捷熟练的,灵巧的
defunct           [di'fʌŋkt]            a. 死的,非现存的 n. 死者
deity             ['di:iti]             n. 神,神性
dejected          [di'dʒektid]          a. 沮丧的,灰心的
deleterious       ['delə'tiriəs]        a. 有害于,有毒的
delineate         [di'linieit]          vt. 描绘……的轮廓,描绘,描写
demise            [di'maiz]             n. 崩,薨,死亡 vt. 让渡,遗赠,转让
demolish          [di'mɔliʃ]            vt. 毁坏,破坏,粉碎
demur             [di'mə:]              vi. 提出异议,反对,抗辩 n. 异议,反对
deprecate         ['deprikeit]          vt. 声明不赞成,抨击,反对
derange           [di'reindʒ]           vt. 扰乱,使发狂
deride            [di'raid]             vt. 嘲弄,嘲笑
despicable        [di'spikəbl]          a. 可鄙的,卑劣的
despoil           [di'spɔil]            vt. 夺取,掠夺
destine           ['destin]             vt. 注定,预定
detest            [di'test]             vt. 厌恶,憎恨
detract           [di'trækt]            vt. vi. 减去,贬低
devious           ['diviəs]             a. 偏僻的,迂回的
devoid            [di'vɔid]             a. 全无的,缺乏的
devout            [di'vaut]             a. 虔诚的,虔敬的,衷心的
dexterous         ['dekstərəs]          a. 灵巧的,用右手的
diagonal          [dai'ægənl]           a. 倾斜的 n. 斜线,对角线
dictatorial       [diktə'tɔ:riəl]       a. 独裁者的,独裁的,独断的
diction           ['dikʃən]             n. 措辞，用语
digress           [dai'gres]            vi. 走向岔道,离题,扯到枝节上
dilate            [dai'leit]            vi. 扩大,详述,膨胀 vt. 使膨胀
diminutive        [di'minjutiv]         a. 小的,小型的,指小的 n. 小的人,指小辞,指小词,爱称
dingy             ['diŋgi,'diŋdʒi]      a. 暗黑的,邋遢的
disarming         [dis'ɑ:miŋ]           a. 似消除的,似解除警戒心的
disarrange        ['disə'rendʒ]         vt. 扰乱,搅乱,弄乱
disarray          ['disə're]            vt. 弄乱,使混乱,使脱去衣服 n. 无秩序,杂乱,不整齐的衣服
disband           [dis'bænd]            vt. 解散,使退伍 vi. 解散
disburse          [dis'bə:s]            vt. 支付,支出,分配
discernible       [di'sə:nəbl]          adj. 可分别的
disciple          [di'saipl]            n. 弟子,门徒
disclaim          [dis'klem]            vt. vi. 放弃,弃权,拒绝
discrete          [di'skrit]            a. 不连续的 a. 离散的
discretion        [dis'kreʃən]          n. 慎重,辨别力,考虑,处理权
disdain           [dis'dein]            n. 轻蔑 vt. 蔑视,鄙弃
disfigure         [dis'figə]            vt. 毁损…的外观,使…变丑;  破坏…的价值
dismal            ['dizməl]             a. 阴沉的,凄凉的,暗的 n. 低落的情绪,沼泽
disparage         [dis'pæridʒ]          vt. 蔑视,贬损
dispensable       [di'spensəbl]         a. 不是必要的,可有可无的
disprove          [dis'pru:v]           vt. 证明……是不对的,提出……的反证,反驳
disreputable      [dis'repjutəbl]       a. 名誉不好的,评价不高的,声名狼藉的
dissect           [di'sekt]             vt. vi. 解剖,切细
dissemble         [di'sembl]            vt. vi. 掩饰,假装不知道
disseminate       [di'semineit]         vt. 散播,传播,宣传 vi. 广为传播
dissimilar        [di'similə]           a. 不同的,相异的
dissimulate       [di'simjuleit]        vt. vi. 掩饰,假装,装糊涂
dissipate         ['disipeit]           vt. 散失,驱散,浪费 vi. 消散,放荡
distillation      [distə'leiʃən]         n. 蒸馏
distressed        [di'strest]           a. 哀伤的
disunite          ['disju'nait]         vt. 使分离,不和
diverge           [di'və:dʒ]            vi. 分歧,岔开 vt. 使岔开
divergent         [di'və:dʒənt]         a. 分歧的
diversification   [di`və:sifi'keiʃn]    n. 多样化
divulge           [di'vʌldʒ]            vt. 泄露,暴露
dogmatic          [dɔg'mætik]           a. 教条的,独断的
doleful           ['dəulful]            a. 悲哀的,寂寞的,阴沉的
domineering       [-'niəriŋ]            adj. 盛气凌人的,跋扈的,作威作福的
dominion          [də'minjən]           n. 领土,主权,统治
doomed            [du:md]               adj. 1 命运注定的;  被定罪的;  天数已尽的 2 注定要失败、死亡、或毁灭
dormant           ['dəu:mənt]           a. 睡眠状态的,静止的
downcast          ['daun'ka:st]         a. 气馁的,悲哀的
downhearted       ['daun'hɑ:tid]        a. 垂头丧气的,无精打采的,闷闷不乐的
drizzle           ['drizl]              n. 细雨 vi. vt. 下毛毛雨
drowsy            ['drauzi]             a. 昏昏欲睡的
ductile           ['dʌktl]              a. 易延展的,柔软的,易教导的
dungeon           ['dʌndʒən]            n. 地牢
dusky             ['dʌski]              adj. 1 微暗的,暗淡的;  阴暗的 2 (委婉语) (皮肤) 微黑的,带黑色的
dwindle           ['dwindl]             vi. 减少,缩小,衰落 vt. 使缩小
Easter            ['i:stə]              n. 复活节
ebb               [eb]                  n. 退潮,衰退 vi. 潮退,衰退
ecstasy           ['ekstəsi]            n. 狂喜,心醉神迷,忘形
edifice           ['edifis]             n. 高大的或宏伟的建筑物
edify             ['edifai]             vt. 启迪,熏陶,教诲
efface            [i'feis]              vt. 抹去,消除,忘却
effectuate        [ə'fektʃu'et]         vt. 招致,实行,完成
effuse            [e'fjuz]              vt. vi. 涌出,流出,泻出
elation           [i'leʃən]             n. 得意洋洋,兴高采烈
elliptical        [i'liptikl]           a. 椭圆的
elm               [elm]                 n. 榆树
elucidate         [i'lu:sideit]         vt. 阐明,说明
elude             [i'lu:d]              vt. 逃避,规避,使困惑
elusive           [i'lu:siv]            a. 难懂的,易忘的,难捉摸的
emaciate          [i'meiʃieit]          vt. 使消瘦,使憔悴 vi. 消瘦
emaciated         [i'meiʃieitid]        a. 瘦弱的,衰弱的
embalm            [im'bam]              vt. 以药物防腐,铭记于心,使不朽
embellish         [im'bæliʃ]            vt. 修饰,装饰,润色
embezzle          [im'bezl]             vt. 盗用,挪用
emblem            ['embləm]             n. 徽章
embroider         [im'brɔidə]           vt. 刺绣,镶边,装饰 vi. 绣花
embryo            ['embriəu]            n. 胚胎; 雏形
emend             [i'mend]              vt. 修订,校勘
emerald           ['emərəld]            n. 绿宝石
encase            [in'keis]             vt. 包住
enchant           [in'tʃa:nt]           vt. 施魔法,使迷惑
encompass         [in'kʌmpəs]           vt. (文语)1 围绕,包围2 包含,含有
encroach          [in'kroutʃ]           vi. 侵犯,侵蚀,蚕食
encumber          [in'kʌmbə]            vt. 妨害,阻害,拖累
enervate          ['enə'veit]           vt. 使衰弱 a. 衰弱的,无力的
engaging          [in'geidʒiŋ]          a. 迷人的
engender          [in'dʒendə]           vt. 产生,引起 vi. 发生,形成
engraving         [in'greiviŋ]          n. 雕刻术; 版画
engross           [in'grəus]            vt. 用大字体书写,独占,使全神贯注
engrossed         [in'ɡrəust]           adj. 1 热衷的,着迷的2 热衷于,埋头于[in]
engulf            [in'gʌlf]             vt. 卷入,吸进,使全神贯注,吞没,投入深渊
enigma            [i'nigmə]             n. 谜,不可思议的东西
enigmatic         [enig'mætik]          a. 阴阳怪气的,谜一般的,高深莫测的
enrage            [in'reidʒ]            vt. 激怒,使暴怒
enrapture         [in'ræptʃə]           vt. 使狂喜
enslave           [in'sleiv]            vt. 奴役,束缚,沉溺,征服
entangle          [in'tæŋgl]            vt. 使纠缠,卷入,使混乱
enthrall          [in'θrɔl]             vt. 迷惑,奴役,迷住
entice            [in'tais]             vt. 诱骗,引诱,怂恿
